"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32","C33","C34","C35","C36","C37","C38","C39","C40"
"CVJT01000011.50.2173",-1.33615789681185,0,-1.38796826991811,-1.4061481887953,0,0,0,0.142185362041814,-1.37807862602881,0.042131203695905,-0.600233758969292,0,-0.575818370728715,0,0,0,0,0,0,0,-1.38516417010909,-1.2994761101616,-0.298866634887551,0,0,-1.23996463849918,0.125410343930979,0,-1.32140603646841,-0.183869145303269,0,0,-1.47011081029888,-1.38121631863908,-0.250440978564201,0,-0.162732776198996,0,-1.41776497217062,0
"CCPS01000022.154.1916",0.609752252243461,-0.732352442246203,0.914616823075934,1.30190201230691,0,0,0,0,1.01981664676956,0.042131203695905,0.786060602150599,2.60286133398013,1.50362317095112,1.35696969502014,-0.744077653953063,2.18305447333374,-0.729351055819259,1.79660610011826,1.78276426077842,2.02689248587774,0.91742092288496,0.0868182509582955,2.09902863791082,0,0.842796225104101,0.839476903180655,1.95799180767929,0.831050468753922,0,-0.183869145303269,0.115712679399441,1.60661770890838,-0.083816449178991,0.921368774354961,0.0372410938875793,0.561328290191482,-1.26134506486711,0.395575528722134,-1.41776497217062,1.15627813707067
"KJ923794.1.1762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32140603646841,0,0,0,0,0,0,0,0,0,-1.41776497217062,0
"EU622687.1.1587",0,1.709994593123,1.25108905969715,2.35505192689826,0.896408023458162,0.242171912312316,-0.656011342254305,1.57726988733114,0.701362915651022,0.601746991631328,-1.29338093952924,-1.30916167144802,0,-0.183475345927005,0.172213077921092,-1.28268142946599,0.975397036419166,0.697993811450147,0.726711586529103,-0.681157715224471,1.8729323679124,1.74504632756183,1.64704351416776,1.63536154053768,3.07638844661119,2.0181318995223,1.4471661839133,1.34187609251991,1.81408817946074,1.02010365902267,0,1.09579208514239,2.14080710234534,0,1.86982255763589,0,2.34957284777712,0,0.191672940263481,0
"KY646024.1.1591",0,0,-0.694821089358167,0,0,0,0,0,0,0,0,-0.616014490888071,0,0,0,0,-0.729351055819259,-1.38144773022969,0,0,0,0,0,0,0,0,0,0,0,0,0.904170039763711,0,0,0,0,0,0,0,0,-0.635481332157383
"JUOP01000215.81.1657",-0.643010716251907,0,0,-0.713001008235357,0,0,0,0,-0.684931445468869,0.042131203695905,-1.29338093952924,1.08873360135035,0,-0.588940454035169,0,0,-0.729351055819259,-1.38144773022969,-1.35272995515073,-0.275692607116306,-1.38516417010909,0,-0.704331742995716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LG042641.312212.313771",0.0501364643080384,-1.42549962280615,2.78641899997752,3.1371465934747,2.06647927610842,1.76822821580737,2.11657737998548,0.478657598663027,2.99136922643821,2.36940890928032,2.03882357064597,2.05813415853846,1.50362317095112,3.07462119209448,1.60729760321041,-0.589534248906045,-0.323885947711095,1.83742809463851,2.49741764655933,1.88379164223707,3.0807439485455,-0.60632892960165,-0.298866634887551,0,2.57739728049221,0.957259938837039,2.72810002937536,0.713267433097538,2.07979134519374,0.509278035256676,0,-1.38911456464561,1.09483854716266,0.00507804248080612,1.59538571193413,0,1.4467051362351,-1.39618394050592,1.29028522893159,2.6226152058641
"AB559692.1.1569",0,0,-1.38796826991811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38516417010909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY349382.1.1568",1.70836454091157,-0.326887334138038,3.63591225092816,3.1371465934747,2.03138795629715,2.37040361816158,2.63982552375002,0.83533254260176,3.9400413678154,2.34471629668995,1.70235133402475,2.92494483314924,2.39459609484099,3.59310968860604,1.69826938141614,-0.184069140797881,0.880086856614841,2.962357691624,2.9780033851356,2.36336472249895,2.9052952710393,-1.2994761101616,-0.0111845624357707,0,3.18886643003788,1.06262045449487,2.35003389545531,0.831050468753922,2.73903697407801,0.663428715083935,-0.800578052474714,-1.38911456464561,0.832474282695164,0.00507804248080612,2.01824256275416,0,2.0708594453081,-0.297571651837811,0.980130300627752,3.21466626955268
"AB606407.1.1554",0,1.46487213509002,0,0,0,0,0,-1.46725255039229,1.56636035313763,-1.34416315742399,0,0,0,1.20281901519289,3.53258846506299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26134506486711,2.82332376467019,2.36642466174764,0
"AB969632.1.1565",0,0,0,-0.713001008235357,0,0,-1.34915852281425,0,-0.279466337360704,-1.34416315742399,0,-1.30916167144802,-1.26896555128866,-0.588940454035169,0,0,0,-1.38144773022969,-1.35272995515073,0,0,0,0,0,-0.661281171672174,0,0,0,-0.222793747800302,0,0,0,0,0,-1.34905326723231,0,0,0,0,0
"DQ394600.1.1565",0,0,0,0,-0.607669373318112,0,0,-0.368640261724176,0,0.265274755010115,0,-0.210549382779907,0,0,-0.744077653953063,0,0,0,0.59318019390458,0,0,0,0,0,0,0,0,0,2.28951187617581,-1.28248143397138,0,0,0,2.05277088584606,0,0,0,0,0.373994497057436,0
"EU622770.1.1565",5.30502427292874,5.89436530700282,5.87466033105613,5.72074262010351,5.9063023023297,5.69834736347593,6.07082140084758,6.64557492835909,6.70771607525275,6.23090854208357,6.52625536283836,6.20618289973242,6.35075866249401,5.70816886589877,5.37181447152997,5.71400005871055,7.25425952470837,6.40593429625501,5.798755508754,5.88057991429292,6.0330166526177,4.81420606967064,5.71647718601037,4.4744400040463,5.66486830148293,5.6133344546869,4.98909122507057,4.15528680927995,3.7348397688799,4.74096615898965,2.7829408859814,3.43919917265669,3.65978790462419,4.3776854552382,4.33792208910751,4.80743974088556,5.77656089858008,4.51731906513235,2.78692764722035,4.60096063067257
"DQ394665.1.1563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.43722483451301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28248143397138,0,-0.695967384085668,0,-1.38121631863908,0,0,0,-1.39618394050592,0,0
"DQ394662.1.1562",0,0,0,0,-1.30081655387806,0,0,0,-1.37807862602881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38911456464561,0,0,0,0,0,0,0,0
"JQ805635.1.1591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38516417010909,0,0,0,0,0,0,0,0,-1.28248143397138,0,0,-1.47011081029888,0,0,0,0,0,0,0
"AY858424.1.1561",0,-0.0392052616862573,-1.38796826991811,-0.713001008235357,-1.30081655387806,0,0,0,0.00821573509107654,-1.34416315742399,0,0,-0.575818370728715,-1.28208763459511,0,0,0,-0.688300549669743,0,0,0,0,0,0,-1.35442835223212,0,0,0,0,0,0,-0.290502275977504,0,0,0,-1.23043117903657,0,0,0,0
"DQ394666.1.1561",0,0,0,0,0,-1.36726600012178,0,-1.46725255039229,-1.37807862602881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26088401718891,0,0,0,0,0,0,0,0,0,0,0,0,0
"DQ105660.1.1557",0,0,0,-0.0198538276754112,0,0,0,0,0,0,-1.29338093952924,-0.616014490888071,0,0,-0.744077653953063,0,0,0,0,0,0,0,0,0,-0.661281171672174,0,0.818557524490924,-1.3661741085823,0,0,0,0,0,0,0,0,0,0,0,0
"DQ288684.1.1556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26088401718891,0,-1.32140603646841,0,0,0,0,0,0,0,0,0,0,0
