,comp1,comp2,comp3
C1,0.30350927006933837,0.18928898243296083,-0.2440034257631178
C2,0.08205975535740899,-0.21286272661186606,-0.06452094682033876
C3,-0.15594971178071163,-0.16900114209210945,0.14322921375943656
C4,-0.11265860472383032,-0.08579296044613927,0.07193499697543532
C5,0.07790191658992915,-0.15047745353957048,0.02195923944077697
C6,0.13532622340412737,-0.16097586838474837,-0.034727702929991895
C7,0.007539990004299531,-0.20916195694786194,-0.034699800051009755
C8,0.09652754492764085,-0.22960981435841324,0.011415831726592551
C9,0.022650941218599514,-0.2685267583799279,-0.04431591319831776
C10,-0.007876071619811251,-0.1576666836729278,-0.03298910276407738
C11,0.29043976754743117,-0.035143609669154745,-0.008774206107526732
C12,0.03774334781015719,-0.18928552349618263,-0.2060816023858552
C13,0.16895572661894634,-0.13435342231566158,-0.017402711653804543
C14,-0.02524700382881327,-0.23013519995822965,-0.18363813494225942
C15,-0.19020444641351933,-0.20180623644019646,0.24307738317728056
C16,0.12853470134635386,-0.1423210262659269,-0.08913201360745865
C17,0.21091790622647233,-0.18067101520115952,0.04796532134246849
C18,0.27011970734674207,-0.111618060912722,0.19696191545996392
C19,-0.10875921203857968,-0.24438073601862642,0.10043189636481768
C20,0.11571281149175855,-0.21279245755418974,-0.04831451560987426
C21,-0.0639914313604132,-0.11281922370843028,0.06389378362826918
C22,0.2599638948712655,0.2150714844664816,0.08667500505644182
C23,-0.25536989130286725,0.10007599707455596,-0.022020165911524264
C24,-0.17183812998891881,0.16286998101924027,-0.17838239030367165
C25,-0.09340830645509521,0.09603883547830835,-0.3840537112320693
C26,0.01512204840706458,0.16290616391721946,-0.30768917406011115
C27,0.017516477868859702,0.17008290681524685,-0.20946515214490433
C28,-0.09774060164449637,0.1449990247906838,0.008540266206894047
C29,-0.2119324229678869,0.15725857505325036,0.03135536769863706
C30,-0.06012889645799213,0.1783726458814574,0.1265265642163778
C31,0.043719416930546845,0.16986755226486122,0.5608857012661559
C32,-0.236786655165935,0.16597113959220008,0.06048418230408881
C33,-0.19774246215931415,0.1971289161365846,0.12498403083255795
C34,-0.25497713341847417,0.1323801037772546,0.014583640637072818
C35,-0.17443221065419284,0.10783219068198557,-0.06608289023456959
C36,0.2937059692471333,0.2205796621140785,0.016373489600094132
C37,-0.0055521606787896196,0.25392898606696224,-0.0612695963760323
C38,-0.2888646282360217,0.1906680750485911,-0.0019814585735802703
C39,-0.2514402588199268,0.16967687828711514,0.1590565355929718
C40,0.3869328224315132,0.25440377507500644,0.14921024938375502
